id,name,address_full,address_city,address_town,fee1,fee2,bus,phone_number,url
1,광연,"서울 강남구 헌릉로 733, (세곡동, 광일자동차운전학원)",서울,강남구,682000,682000,http://kydriving.co.kr/bus_1.html,02-481-6000,http://kydriving.co.kr/index.html#
2,삼일,"서울 강남구 헌릉로 736, (세곡동, 삼일자동차운전학원)",서울,강남구,683000,683000,http://www.samilcar.co.kr/company_04.html,02-451-3131,http://www.samilcar.co.kr/#
3,창동,"서울 도봉구 도봉로136길 61, (창동, 창동운전전문학원)",서울,도봉구,680000,680000,https://hidi.co.kr/bus,02-907-7744,https://hidi.co.kr/
4,녹천,"서울 노원구 마들로5길 91, (월계동, 녹천자동차운전학원)",서울,노원구,709500,709500,http://www.ncdrive.co.kr/bus/sub_00.php?PHPSESSID=31702b19767fed17159e6210da379359,02-903-3131,http://www.ncdrive.co.kr/index.php
5,사당,"서울 서초구 과천대로 904-6, (방배동, 사당자동차운전면허학원)",서울,서초구,693000,693000,http://sadangdrive.com/user_dir/popup/1561537005_1.jpg,02-591-6300,http://www.sadangdrive.com/
6,서울,"서울 강서구 남부순환로 222, (외발산동, 서울자동차학원)",서울,강서구,631400,631400,https://www.seouldriver.co.kr/home/sub01.php?mid=4,02-2665-6961,https://www.seouldriver.co.kr/home/
7,온수역,"서울 구로구 부일로1가길 18-44, (온수동)",서울,구로구,658900,658900,http://www.carist.kr/sub_01_02,02-6971-7800,http://www.carist.kr/
8,중랑,"서울 중랑구 상봉로 117, (상봉동, 상봉시외버스터미널)",서울,중랑구,705000,705000,http://www.jndriver.com/m1_3,02-494-3355,http://www.jndriver.com/
9,양재,"서울 서초구 남부순환로342길 62-26, (양재동, 양재자동차운전학원)",서울,서초구,660000,660000,http://www.yangjaecar.co.kr/bbs/board.php?bo_table=shuttle,02-575-9500,http://www.yangjaecar.co.kr/
10,신도림,"서울 구로구 신도림로19길 68, (신도림동, 신도림자동차전문학원)",서울,구로구,660000,660000,https://www.sindolim.co.kr/new/?cid=shuttle,02-2672-8500,https://www.sindolim.co.kr/new/?cid=
11,일신,"인천 부평구 무네미로 521, (구산동)",인천,부평구,640200,640200,,032-513-1313,https://isdrive.co.kr/?gclid=CjwKCAiAsOmABhAwEiwAEBR0Zr4eCwHf3gRdoI5koYWCyMJ0VHfOT0FLE2aujBu21Yv8QhbwZ31hGxoCDokQAvD_BwE
12,주신,"인천 남구 노적산로 66-36, (학익동, 주신자동차운전학원)",인천,남구,646900,646900,http://zushincar.co.kr/bus_01.htm,032-873-4982,http://www.zushincar.co.kr/
13,인천,"인천 남구 매소홀로271번길 7, (학익동, 인성산업㈜)",인천,남구,,,,032-715-6111,
14,기아,"인천 중구 서해대로 261, (항동7가)",인천,중구,640000,640000,http://www.kdschool.co.kr/company_04.html,032-884-6111,http://www.kdschool.co.kr/
15,효성,"인천 계양구 새풀로8번길 14, (효성동)",인천,계양구,669000,669000,http://www.5517000.com/?sd=1&sc=1_6,032-551-7000,http://www.5517000.com/
16,대우,"인천 서구 호두산로 18, (경서동)",인천,서구,650800,650800,http://www.dwdrive.kr/s1_4.php,031-516-0185,http://www.dwdrive.kr/
17,시엘,"인천 남구 소성로 34, (용현동, 씨엘자동차운전학원)",인천,남구,630000,630000,https://clds.modoo.at/?link=98msp3jc,032-867-7070,https://clds.modoo.at/
18,한성,"인천 서구 중봉대로 266, (석남동, 1동)",인천,서구,644600,644600,http://hansungdrive.com/company_04.html,1588-0892,http://hansungdrive.com/index.html
19,강화,"인천 강화군 선원면 강화동로 984, (강화자동차학원)",인천,강화군,674300,674300,,032-932-2176,https://www.eganghwa.com/
20,연세,"인천 계양구 장제로 988, (박촌동)",인천,계양구,625000,625000,http://m.xn--e42b17tpc71dv52b9sa.com/page/page34,032-507-7900,http://m.xn--e42b17tpc71dv52b9sa.com/main
21,오렌지,"인천 중구 서해대로 272, (신흥동3가, 오렌지자동차운전전문학원)",인천,중구,636000,636000,http://www.orangedrive.co.kr/m1_4.htm,032-8885-114,http://www.orangedrive.co.kr/default.asp
22,동아,"인천 남동구 청능대로534번길 39, (고잔동)",인천,남동구,643500,643500,http://www.dongacar.co.kr/%EC%85%94%ED%8B%80%EC%95%88%EB%82%B4,032-446-1100,http://www.dongacar.co.kr/
23,거성,"인천 계양구 봉오대로894번길 33-12, (서운동)",인천,계양구,634700,634700,http://www.geosungds.co.kr/company_02.html,032-543-3399,http://www.geosungds.co.kr/index.html
24,성도,"인천 계양구 아나지로 480, (서운동)",인천,계양구,640000,640000,http://www.sungdocar.co.kr/s1_2.php,1544-8366,http://www.sungdocar.co.kr/
25,서울신진,"인천 계양구 아나지로551번길 15-1, (서운동)",인천,계양구,627000,627000,http://www.drivingok.co.kr/company/com_03.asp,1544-3386,http://www.drivingok.co.kr/
26,세영,인천 서구 당하 산61-5,인천,서구,592020,592020,http://www.sydrive.co.kr/2017/sub3-1.html,1566-3156,http://www.sydrive.co.kr/
27,한양,"인천 계양구 장제로 988, (박촌동)",인천,계양구,642400,642400,http://www.hydriver.kr/sub01/sub01_301,080-507-4900,http://www.hydriver.kr/
28,인기,"인천 남동구 논현고잔로88번길 19, (고잔동)",인천,남동구,642950,642950,http://inchondrive.co.kr/company_04.html,032-446-1199,http://inchondrive.co.kr/index.html
29,신진,"인천 서구 드림로 285, (백석동)",인천,서구,625000,625000,http://www.sjdrive.co.kr/shu/01.asp,1600-9009,http://www.sjdrive.co.kr/default.asp
